Artista;Cancion;Lyrics;Etiqueta;Expresion
juangabriel;Que No Diera Yo;"  
  
Que no diera yo por un dia volver   
a los dias de amor dias del ayer.   
Volverte a encontrar volverte a querer   
volverte a entregar mi primera vez.   
  
Yo diera por volver contigo todo cuanto soy,   
yo diera por volver contigo todo lo de hoy.   
  
Yo diera por volver contigo todo y cuanto se,   
yo diera por volver contigo todo y cuanto ves.   
  
Ya no he vuelto a amar como yo te ame   
se que igual jamas yo no amare.   
  
En todo me ha ido muy bien, pero te extraño,   
que no diera yo por volver a aquellos dias   
tan hermosos ¿te acuerdas? son los dias   
mas hermosos de mi vida, los dias del ayer  
  
Como extraño esos dias divinos vividos ayer   
oh, todo diera por volver contigo cariño otra vez.  
  
Pero que no diera yo todo por volver   
a los dias de amor dias del ayer.  
";0;
juangabriel;Iremos de la Mano;"  
  
No mi amor, no me acostumbro, todavía, a estar sin ti,  
Es tan difícil, para que, voy a mentir, si cada día como hoy,  
Salgo corriendo hacia el buzón, a ver si hay carta para mí, y nada  
  
Vuelve amor, que necesito verte, y besarte con pasión,  
Ya te lo he dicho una, y mil veces, que yo estoy, solo extrañándote,  
Y mira, que no me puedo acostumbrar, a estar sin ti, y sin tu amor  
  
Vuelve, juntos iremos caminando, de la mano,  
Pues nos queremos, tú me amas yo te amo,  
Que nos importa, que nos critiquen,  
Que estén en contra de los nuestro, que es amor  
  
Vuelve, que tengo ganas solo, de estar ya contigo,  
No, no desperdicies, tu vida, sin mi cariño,  
Deja tus ojos, que vean los míos,  
Que están ansiosos por volverlos a mirar  
";0;
juangabriel;Tu Que Fuiste;"  
  
Que dolor, que tristeza, tan grande  
Al haberme ofendido, esta vez  
Yo que nunca, pensé, ofenderte  
Y esta vez tu me ofendes, porque  
  
Tú que fuiste feliz a mi lado  
Y conmigo nada te falto  
Yo quisiera, saber, el motivo  
Porque nuestro amor termino  
  
Y yo que me estaba acostumbrado  
De momento, todo terminó  
Me ofendiste, hasta que lloraste  
Y por eso sufro mi dolor  
  
";0;
anuelaa;Hipcrita;"  
  
Dime si hay alguien más (uah)  
Pa' no rogarte ni suplicarte  
A mí me sobran de más  
No quiero, pero yo puedo olvidarte  
  
Tú ere' una hipócrita (uah)  
Un día me ama' y otro día me odia'  
Siempre una incógnita (uah)  
Pero olvidamo' cuando nos enredamo' en las sábanas (uah)  
Y tú eres buena, pero por dentro tienes tanta maldad (uah)  
Tú ere' una hipócrita, uah  
  
Oh-oh-oh  
Tú ere' una hipócrita  
Oh-oh-oh  
Siempre una incógnita (yeah, uah)  
  
Tú ere' mía 'esde los diecinueve  
No aparentes ser alguien que no ere' (uah)  
No te alejes y mi paciencia no la pruebe'  
Sólo hazme el amor mientras llueve-e  
  
Haz la entrada de llamar a la hipocresia  
Bipolar de noche y de día (de día)  
Y yo te comía y el amor fluía (fluía)  
Y te llené cuando estabas vacía  
Y yo nunca estuve el día que idioté la cobardía  
Y si me fallas, no olvides que te la cobraria (uah)  
Yo te dije que no compartía (uah)  
Y nunca pensé que tú a mí me fallarías (eh)  
  
Tengo un problema de inseguridade'  
Pero pa' mi corazon, tú tiene' la llave (la llave)  
Nunca hice na' pa' que tú no me ame'  
Pero si me falla', no esperes que yo te llame  
  
Baby, recuerda cuando te abri (te abrí)  
Y cuando te la comí (comí)  
Trépate encima 'e mí  
Y vente pa' mí, mami  
Mami, recuerda cuando te abrí (uah)  
Y cuando te la comí, eh (uah)  
Trépate encima 'e mí  
Y vente pa' mí, mami  
  
Dime si hay alguien más (-guien más)  
Pa' no rogarte ni suplicarte (no, no)  
A mí me sobran de más (más)  
No quiero, pero yo puedo olvidarte  
  
Real Hasta La Muerte, baby  
Zion, baby  
Zi-diddy (uah)  
Anuel  
Real Hasta La Muerte ¿oí'te bebé?  
Es mejor estar solo que estar con alguien que teine un máscara puesta, baby  
Mera, dime, Frabian (uah)  
Mera, dime Gaby Music  
Mera, dime Chris Jeday (uah)  
Brrr  
";1;"
Tú ere' mía 'esde los diecinueve"
aventura;Aventura;"  
  
Sometimes it just feels that if we weren't Aventura,   
trabajo en la fritura, you wouldn't speak of us.   
And all these girls all love us - do they really really love us?   
Cause in school it wasn't like this y hoy todo cambió  
  
No me conoces sólos escuchas mi voz.  
You don't know me, you haven't spoke to none of us.  
Como te atreves a llamarme comparón.  
Yo soy humilde tengo buen corazón.  
Para llegar a la fama tienes que ser un campeón.  
We've been booed out of stage and look at us.  
You can't stop us you can't fade us.  
I love my fans but fuck the haters.  
This industry is full of hate and love.  
Hoy me siento ser el más popular,  
pero no olvido mi barrio.   
Holla back mi gente hermosa que tanto quiero,  
Dominicano, Puertorriqueño.  
Gracias a Diós, gracias a Mami, gracias Papá  
  
Because of you we're number one - Que me ames o me odies  
Because of you we're number one - And we'll be together always  
Los envidiosos listen up. We invented this style.  
  
";0;
juangabriel;Enamorado Y Feliz;"  
  
Enamorado de ti  
Como yo te amo  
No amé a nadie  
  
Enamorado y feliz  
Yo te necesito igual que al aire  
Tenemos tres años  
Que nos conocemos  
Y a mi me parece que  
Tenemos solo un mes  
  
Oh!  
Ay amor!  
Jamás olvidare  
Como te conocí  
Jamás olvidare  
Yo guardo en mi corazón  
Aquel siglo, el año, el mes y el día  
  
Bendigo la hora, yo  
Bendigo el minuto aquel  
Bendigo el instante en que  
Yo te conocí, oh!  
  
Ay amor!  
Jamás olvidare  
Como te conocí  
  
Bendigo la hora, yo  
Bendigo el minuto aquel  
Bendigo el instante en que  
Yo te conocí, oh!  
  
Ay! Amor!  
A ti te comparo con mi vida  
Jamás olvidare  
A ti te comparo con mi tierra  
Como te conocí  
A ti te comparo con mis ojos  
Jamás olvidare  
A ti te comparo con mi boca  
Ay! Amor!  
A ti te comparo con mi cielo  
Jamás olvidare  
A ti te comparo con mi mundo  
Como te conocí  
";0;
arcangel;Me Solt;"  
  
Ajá  
Tú sabes cómo es  
Hey you  
Escucha papi  
Arcángel pa'  
  
Eh, eh, mira quién es  
A mí me conocen como Arcángel  
Se soltó el nene  
Papi, pa' nadie hay break  
El mejor novato aprobao' por ley  
  
Eh, eh, mira quién es  
A mí me conocen como Arcángel  
Se soltó el nene  
Papi, pa' nadie hay break  
El mejor novato aprobao' por ley  
  
No te sorprenda'  
Cuando viaja el nene con la vaga tremenda  
Carro lujoso, paseo' grande' y mucha' prenda'  
Y mujere' que me quieren sin tan siquiera verla'  
  
Yo me pregunto, ¿A dónde pertenezco?  
Y todo lo que viene papi, yo me lo merezco  
Por ser el dueño del flow majestuoso  
A mí no me meten cabra con su estilo y como gozo  
  
Yo sigo siendo original, no me parezco a nadie  
¿Con quién me van a comparar?  
Yo sigo más allá de lo real  
Envolviéndolos en un viaje virtual, sin parar  
  
¿Quieren saber cuál es la diferencia?  
Nací con el talento papi, no por coincidencia  
  
Tengo la virtud de verlos crecer  
Y si quiero puedo hacerlos desaparecer  
  
To' el que el me pichó, ahora lo lamenta  
¿Por qué el chamaquito le 'stán parando la venta?  
Cambiando el juego por un flow, cabrón  
Están escuchando a la nueva revelación  
  
La sensación, directamente del callejón  
Cantantes veo caer por montón  
Vencerlos es una bendición  
Y poderlos asesinarlos tanto en Rap, como en Reggaetón  
  
Siente la ráfaga que te atraviesa  
Muchos no progresan por culpa de su pereza  
Y a los que frontean que tienen riqueza  
En un par de año' me van a llamar: su alteza  
  
Los que se preguntan, cómo lo hago  
Soy dueño de lo mío, pa'  
Por letras no pago  
Estoy en un nivel donde la libreta e' obsoleta  
¿Y pa' qué escribir?  
Si en mi mente hay una biblioteca  
  
Hey you  
Esto es  
Los Anormales Musicales  
Arcángel, del callejón  
Con el Pokemón  
No te equivoques, papi  
Óyeme, ¿Tú me estás escuchando?  
No te equivoques  
Ahorita te digo  
Arcángel, pa'  
";0;
anagabriel;Pacto De Amor;"  
  
Se que te gusto   
pero también le quieres a ella   
se que no puedes jugarle una traición   
porque si se entera muere de dolor   
  
Se que te gusto   
y no puedes gritarlo por ella   
se que me deseas tanto como yo   
que si no le vieras yo fuera tu razón   
  
Hablame de amor, dame una esperanza   
nunca lo sabra solo tu y yo   
hablame de amor no quiero olvidar   
que mi vida tiene una ilusión   
  
Dime lo que sientes, lo que yo presiento   
quiero hacer un pacto de amor   
yo sabre esperar por ti   
no te apartes mucho de mi   
  
Tu también me gustas   
y tengo que ocultarlo por ella   
  
yo sabre callar me este gran amor  
no quiero dañarle ese corazon  
";0;
anagabriel;Que Nos Pas;"  
  
¿Qué nos paso?   
sin darnos cuenta algo cambio   
¿Qué nos paso?   
que de repente nos dimos amor   
¿Qué nos paso?   
fue el vino tinto, que se yo   
¿Qué nos paso?   
jugando, jugando, todo empezó   
  
Fuimos amigos hasta entonces   
hoy diferente todo es   
me gustas, te gusto   
me siento feliz contigo   
te sientes a gusto conmigo   
  
Amemonos, como hasta ahora,   
  
amemonos, hora por hora,   
amemonos, que la vida es muy corta y muy pronto se va    
";0;
polimawestcoast;Fory Fory;"  
  
Hmm, hmm (Jaja)  
Atento a to'a la gente 'e la discoteca  
Ahora vamos a vivir un perreo intenso (Grr, paw)  
  
Pa'l party entramo' to'a la forty-forty (Prra, gang)  
Les pasamo' por el la'o a todo' los poli-poli (Grr-paw)  
Esa perra que yo vi, quiere una molly (Jaja)  
Me está esperando para subir una storie (Paw-paw)  
  
Entramo' la forty, las gata', las paca', el chaleco (Jaja)  
Cuando escuchan gritar, las babies dicen: Llego ECKO (Prra)  
Traje un pasto que te deja turuleco  
Y un palo que endereza a todo el que camine chueco (Pew-pew-pew-pew)  
Prr-prr, peine lleno  
Prr-prr, te lo dimo' (¿Qué?-¿Qué?)  
Prr-prr, vas pa'l cielo (Ja)  
Prr-prr, chau, nos vimo' (Prra)  
Un botonazo y salen treinta de corrido' (Uh-wuh)  
De Argentina mis mísiles y va pa' Chile el recorrido (Yeah-yeah-yeah-yeah)  
Pa' que, las gata' lo muevan (Ah)  
  
Busquen otra liga porque en esta no juegan (Yeah)  
El que les saco el trono, el mejor de la nueva (Jaja)  
Grr-paw, pa' que vea como suena  
E-E-Esto e' pa' que (Prra), las gata' lo muevan (Aja)  
  
Quemando OG Kush, con un full, siempre estamo' ready  
Ella tiene un culo gigante, mami, como Jery  
No le' compro a los guardia' porque estamo' en vaina heavy  
Siempre visto bacano, de pie' a cabeza ready  
En la jaguar el porte, los gramo' vienen del norte  
Ella le da su corte y rebota como resorte  
La llevé a mi casita, por allí arriba, en el monte  
Tú fuma lo que quiera', luego que yo te monte  
  
Y la forty con cheat, con el chip, la chambeo y hace clip,  
No salgo sin el stick, grr-paw  
El carro negro mate y los vidrios tinteaos'  
Andamo' R con to' los que se han vira'o  
La forty con el chip, suena el grr, en Chile yo soy el drip  
Conoci'o en Wall Street, grr-paw  
El miedo lo dejamo' en la gaveta guarda'o  
Y la forty pa'l que sé la dé de presta'o (Pa'l party-Pa'l party)  
  
Pa'l-Pa'l party entramo' to'a la forty-forty (Gang)  
Estamo' ready, mami, no hay problema 'e money (Grr-paw)  
Esa perra que yo vi, quiere una molly (Wuh)  
Prefiero lowkey, bebe, no me grabes una storie (Bang)  
  
Entramo' todo el combo Loyalty en la disco  
Si tu gata la deja' sola, yo te la confisco  
Conmigo toma Hennessy, él te tiene a puro Pisco  
Veo tanto' culo' que mis ojos están viscos  
No sé, no distinto entre tantas mujeres  
El combo de 70 con to' los podere'  
Nos robamo' a tu gata, si da la mano, se puede  
No le comí má' gile', con los gile' andamos R  
R son las quince, yo no entiendo lo que tú dice'  
Si te encañonan afuera, si, yo lo quise  
En el party, pura mayore', van saliendo las de quince  
Yo no soy Coscu, pero soy El Prince  
De Picasso, yo soy el pincel  
Se formó el party punky, el party dice:  
Todo' canten el coro, ahora como dice (Pa'l party-Pa'l party)  
  
Ey  
Les pasamo' por el la'o a todo' los poli-poli  
Ey, en esta vuelta ando con el Poli, Poli, Poli, grr-paw  
Ey, King Savagge en la casa, ustede' me conocen  
Ey, Loyalty Gang, los ninja'  
Dímelo, Moustache, en el beat, en el beat, grr-paw  
Yeah, jaja  
ECKO  
Argentina y Chile (Paw-paw)  
Grr-paw (Wuh)  
";1;"Esa perra que yo vi, quiere una molly (Jaja)
Me está esperando para subir una storie (Paw-paw)

Ella tiene un culo gigante, mami, como Jery

Esa perra que yo vi, quiere una molly (Wuh)
Prefiero lowkey, bebe, no me grabes una storie (Bang)





"
antonioaguilar;Me Voy Lejos;"  
  
Me voy lejos, pero siempre recordando  
Ese amor que yo amé tan profundo  
Era el único amor en el mundo  
Que siempre adoraba con loca pasión  
  
Me voy lejos, me voy con la esperanza  
De volver a tus brazos, mi vida  
No me dejes el alma partida  
Yo juro quererte aunque lejos me voy  
  
Tú que has sido la que yo quiero tanto  
No me pongas tan grandes quebrantos  
Ya no seas tan ingrata conmigo  
Apiádate un poco de mi corazón  
  
Tu retrato lo llevo aquí guardado  
Cada vez que lo miro me acuerdo  
De ese amor que al marcharme lo pierdo  
Son tristes memorias que no olvidaré  
De ese amor que al marcharme lo pierdo  
Son tristes memorias que no olvidaré  
";0;
ozuna;69;"  
  
La maquina ya ta ready para salir pa la carretera   
La baby baby me llama que ya esta esperandome afuera   
Que solo conmigo le gusta hacer la 6-9   
Que le prenda de Cristina y que la martille cuando llueve   
  
Cuando se duerman los nenes vamos hacer la 6-9   
Pa llegar pa tu casa con el pistol o con la 9   
Fulleta la 19 chingamos siempre que llueve   
El AK al lado de la cama y los aviones lleno de nieve   
  
Cuando se duerman los nenes vamos hacer la 6-9   
El pistolon en la cintura y el aparment lleno de nieve   
Caleta 10.9 la baby ese culo mueve   
Y pa meterle caliente me eche un par de 7-4-9   
  
Gastando miles en el club, billetes de 100 y la glock   
Los trabajos van en 22, el pana mio me lo fio   
  
Siempre anda ready la tropa, los burros los mando pa Europa   
Pagan a 55 y pico el ticket yo lo duplico   
  
Ella tatuó en mi piel fumandoo como Dr. Trek   
Sangre en la infra red, la libra yo la endeque, mi pistola yo la compre   
Baby yo me empercoce, ensima me la trepe, por el cuello la agarre   
Enrole y me arrebate, en cuatro la martille, por el pelo la jale   
  
Vamos cruzando el Teodoro en el Mazeratti, la 40   
Tengo dos peines de 30 por si algunos de ustedes me inventa   
  
Pilas de balas, le puse el chipete a la 23   
Y yo no voy pa ningun tribunal que se vaya pal carajo el juez   
  
Fumando pure yo me eche tres redondas bebiendo aquafina   
La calle me ama pistola y rifle, crack y cocaina   
Ella quiere este bicho como los tecato quieren heroina   
Tu puta me ama como todas las putas aman a Messi en Argentina   
  
Tengo la retro 9, hicimos la 6-9   
Mis enemigos se mueren y los trabajos se mueven   
Bebiendo codeína, chingamos y fumamo Cristina   
Ella ta bebiendo champaña bebe tengo tu medicina   
  
6-0-2.10 5 veces tengo percoce   
Yo tengo la grasa como los Domi en New York y RD   
Pila de balas le puse chipete a la 23   
Y yo no voy pa ningun tribunal que se vaya pal carajo el juez    
  
Real Hasta La Muerte Oiste Cabron   
El Negrito De Ojos Claros   
Ozuna   
Mera Dime Yampi   
Con Anuel   
Mera Dime Spiff   
Real Hasta La Muerte Cabron   
La 69 Remix   
Mera Dime Movie   
Dimelo Yampi   
Mera Dime Yampi   
EQ El Equalizer   
Tu Sabes Los Que Vamos Hacer Mami   
No Te Hagas   
Dimelo Fall   
Oye, Yo Tengo La Grasa Como To Los Domi   
En New York Y RD   
Voy Pa Musica   
Ellos Saben Que Nosotros Somos Los Que Estamos   
En El Maquineo   
Anuel   
Yampi   
La Torre   
Cambia El Ritmo Comming Soon   
Odisea   
Los Illuminatis Oiste Cabron  
";1;Tu puta me ama como todas las putas aman a Messi en Argentina 
carlosvives;La Hamaca Grande;"  
  
Compadre Ramón  
le hago la visita   
pa' que me acepte la invitación   
quiero con afecto   
llevar al Valle cofres de plata  
  
Una bella serenata   
con música de acordeón  
Con notas y con folclor   
de la tierra de la hamaca   
  
Acompañenme  
a un collar de cumbia sanjacintera   
llevo en mi canto   
con Adolfo Pacheco   
y un viejo son de Toño Fernandez   
Y llevo una Hamaca Grande   
más grande que el cerro e' Maco  
  
Pa' que el pueblo vallenato   
meciéndose en ella cante   
  
Y conseguiré   
a un indio Parofo   
y su vieja gaita que solo cuenta   
historias sagradas   
que antepasados recuerdo' esconde   
Pa' que hermosamente toque   
y se diga cuando venga  
  
Que también tiene leyenda   
cual la de Francisco el Hombre.  
";0;
alejandrosanz;Deja Que Te Bese;"  
  
Deja que se enteren  
como yo te quiero y como tu me quieres  
Deja que nos miren  
Cuando te enamores no te quejes  
Deja que mi alma brille  
  
Dime que hago  
Que hago contigo  
No me des pena por mi vida  
Te lo pido  
De verdad no tengo miedo  
Pero ahora es cuando quiero  
  
Que me dejes que te mire  
Y que te bese si es que puedo  
  
Tu eres una necesidad y solo con un par de besos  
Tu puedes derretir mi fuego  
Puedes incendiar mi mar  
Si no me das un beso ya  
Tu boca se la lleva el viento  
Y como le digo lo siento  
A este cuerpo que quiere amar  
Tu eres la casualidad mas hermosa  
Que me trajo al cielo  
Quien dijo que yo estoy despierto  
Si no paro de soñar  
Si no me das un beso ya  
Tu boca se la lleva el viento  
Y como le digo lo siento  
A este cuerpo que quiere amar  
  
Deja que te bese  
Deja que te bese deja que lo intente  
Deja que te invite  
A que te enamores de esta noche  
Una noche aquí entre miles  
  
Me he enamorado nunca lo olvides  
No ha sido fácil porque muero en tus perfiles  
Me has atrapado, no te confíes  
Deja que te bese, te prometa y deja que te olvide  
";0;
polimawestcoast;FORTUNA;"  
  
Estoy haciendo una fortuna de la Tierra hasta la Luna  
Y en la cima un castillo, oh-oh (Oh-oh)  
Pero toda esta fortuna no reemplaza tu figura  
Ni la forma en que me entregas amor  
  
Dame un beso, dame dos y te llevo a Gucci store  
Nunca se acaba el stock, oh-oh (Oh-oh)  
Y la police seteando  
Pero no están llegando a la cima donde estemos los dos  
Dame un beso, dame dos y te llevo a Gucci store  
Nunca se acaba el stock, oh-oh (Oh-oh)  
Y la police seteando  
Pero no están llegando a la cima donde estemos los dos  
  
Te compro lo que tú quieras  
Pero esa no es la manera de rellenar tu cartera no, no  
Ya no vale si es material  
Si lo pienso es cosa seria, pero no es pa' que te hiera, no (No es pa' que te hiera, no)  
Y nos vamos to' tranquilo, to' bacan  
De na' te tienes que preocupar  
Lejos donde no exista el bla-bla-bla-bla  
Tengo pa' darte amor de verdad (Eh, eh, eh, eh)  
  
A la cima donde estemos los dos  
  
";0;
