Artista;Cancion;Lyrics;Etiqueta;Expresion
ozuna;Carita De ngel;" 
 
No sé como explicar, no sé como expresar tanto sufrimiento 
Solamente Dios sabe como me siento 
Mi mundo se me acaba, mi corazón de arena 
Ahora queda a la espera que Dios me mande a buscar 
 
Dime como aceptar que ya no veré más 
La carita de mi ángel que al cielo se va 
Dime como aceptar que ya no veré más 
La carita de mi ángel que al cielo se va 
 
Inocencia, en un mundo lleno de violencia 
Sin pensar en consecuencias 
Ya la paciencia no es competencia pa' la demencia 
¿A dónde se fue la inteligencia? 
Ya no woa' tener concentración 
Veo todo blanco y negro, ya nada tiene color 
Se quedó el dolor cuando abro la puerta de tu cuarto 
Adiós mi ángel, en el cielo te están esperando 
 
Te pido Dios, perdónalos, pero yo no 
Ellos no saben lo que hacen 
Te juro Pa' que me la paga to' el que me la hace 
Descansa baby, dame fuerzas pa' no destrozarme 
 
Ya no quedan lagrimas para llorarte 
Y mi pensamiento nunca va a borrarte 
Miro al cielo y tu cara es un arte 
Que se dibuja mientras yo camino a recordarte 
Te pido paz señor, aquí en la tierra, como en cielo 
Yo sé que vivimos en el fuego 
Y que algún día ya nos veremos 
 
Te pido Dios, perdónalos, pero yo no 
Ellos no saben lo que hacen 
Te juro Pa' que me la paga to' el que me la hace 
Descansa baby, dame fuerzas pa' no destrozarme 
 
";0;
monlaferte;ngel Negro;" 
 
Porfavor no me hagan ruido porfavor 
Que hoy me siento como un perdedor 
No creo en dios 
Me han destrozado el corazon 
Ya no hay amor 
Me siento cada vez peor 
Porfavor 
 
Angel negro sobre mi 
Come de mi cuerpo gris 
Angel negro devorandome 
Come de mi 
 
Ya dejenme no quiero oir la verdad 
Electrica yo solo quiero bailar 
Es tipoco tener tanto terror 
Que obseno me rio de mi dolor 
Porfavor 
 
A la luz de la luna llena 
Me transformo en una sirena 
En la sombra de mi dolor 
Soy luz del sol 
";0;
ozuna;Pasado y Presente;" 
 
[Ozuna:] 
Vengo desde el pasado y permanezco en el presente 
Me tiene muy pendiente, más que a los pretendientes 
Que conmigo siente lo que con otro no siente 
La trado diferente, porque soy indiferente 
 
Y ahora de nuevo ella se quiere lucir 
Me pide más, dice que quiere repetir 
De nuevo en mi cama, conmigo quiere dormir 
Entre gemidos dice que le gusta hacerlo así 
 
[Anuel AA:] 
Tú eres mi pasado y presente 
Siempre está' en mi mente 
Tu futuro, bebé, danza kuduro 
Me es un perjurio haciéndolo en lo oscuro 
Yo te torturo, por dentro te fracturo 
Y haciendo el amor no me deja morir 
To' los días se quiere venir 
Mi bebé que hasta un hijo me quiere parir (eh-eh) 
Hacemos threesomes y otra bebé ella quiere añadir 
Ya en un pasado le hicieron sufrir 
Ella siempre me pone esa' nalga' a aplaudir 
Bebé báilame, manipulame 
Y en la próxima vida hazme tuyo otra vez 
 
Y ahora de nuevo ella se trepa encima de mí 
Me pide más y dice que quiere repetir 
De nuevo en mi cama, conmigo quiere dormir 
Entre gemidos dice que le gusta hacerlo así 
 
Ella quiere volverme a ver, el tiempo retroceder 
No quiere amores conmigo, quiere que se lo vuelva hacer 
Quiere verse a mi nivel, se pone el AP y la Cartier 
Lo hacemos en el G4 y en el Phantom lo hacemos tambien 
Mama, yo te doy la bienvenida a mi cama 
Un placer aquí tenerte, señorita, ¿cómo vas? 
Si es prohibido es mejor, la adrenalina vale más 
Si él te llama, tú le dice que conmigo tú te vas 
 
Vengo desde el pasado y permanezco en el presente 
Me tiene muy pendiente, más que a los pretendientes 
Porque conmigo siente lo que con otro no siente 
La trato diferente, porque soy indiferente 
 
 
[Anuel AA:] 
Chris Jeday 
Gaby Music 
Anuel 
Ozuna 
Real Hasta La Muerte, ¿oi'te bebé? 
Brrr 
";1;"Yo te torturo, por dentro te fracturo
Y haciendo el amor no me deja morir
To' los días se quiere venir
Mi bebé que hasta un hijo me quiere parir (eh-eh)
Hacemos threesomes y otra bebé ella quiere añadir
Ya en un pasado le hicieron sufrir
Ella siempre me pone esa' nalga' a aplaudir
Bebé báilame, manipulame
"
maluma;Te Quiero Cerquita;" 
 
Ya no eres la misma que yo conocí 
Ya no eres la niña con la que salí 
Ahora fumas, bebes y te arrebatas 
Andas con par de amigas que son bien patas 
 
Ya no eres la nena que yo conocí 
Ya no eres la niña con la que salí 
Ahora fumas, bebes y te arrebatas 
Y andas con par de amiguitas que fuera de putas, patas 
 
Te quiero cerquita 
Pero cerquita de Marte 
De volver contigo prefiero matarme 
Te quiero cerquita 
Pero de un hombre precoz 
Que se venga son solo escuchar tu voz 
 
Te quiero cerquita 
Pero cerquita de Marte 
De volver contigo prefiero matarme 
Te quiero cerquita 
De la letra de esta canción 
Y que esta selle tu maldición 
 
Cuando eras mi noviecita 
Eras flaquita y sin téticas 
El prototipo que ningún hombre solicita 
De un momento a otro se acabaron las visitas 
Ibas pa' una finca, y después pa' otra finca 
 
Eso me huele mal, mal, mal, muy mal 
Y esas siliconas que ayer no podías pagar 
Eso me huele mal, mal, mal, muy mal 
Y dime la verdad, ya dime la verdad 
Y ese lindo carro, ¿de dónde lo sacaste? 
Y esa ropa cara, ¿de dónde la sacaste? 
Y ese culo grande, ¿de dónde lo sacaste? 
Encontraste quién te gaste, después que la cagaste 
 
Mami que te parece 
Si te vas pa' la tapu damier 
De otra mujer yo ya tengo hambre 
Ya no eres mi obsesión 
Dime porque te dañaste 
Y así dañaste mi corazón 
";1;"Cuando eras mi noviecita
Eras flaquita y sin téticas
El prototipo que ningún hombre solicita
De un momento a otro se acabaron las visitas
Ibas pa' una finca, y después pa' otra finca
"
anagabriel;En La Obscuridad;" 
 
Tantas veces soñando  
imaginando bailar suavemente  
sentir que nuestros cuerpos se entallan uno a uno  
amando sin amar, mirándote al pasar  
 
Si hay pasión que se muere  
en el silencio del eco dormido  
caricias que me llevan hasta un mundo conocido  
 
Si hay rumor que se pierde, en las paredes del cuarto vacío  
suspiros que te gritan que me ames sin sentido  
Hablando sin hablar, pensando en ti nada mas  
 
Creo que me estoy quedando en la obscuridad  
y en vano busco, una señal que me lleve muy cerca de ti,  
siento que no soy la misma desde que te vi  
y lejos queda toda esperanza que diga que puedes enamorarte de mi  
creo que me estoy quedando en la obscuridad  
";0;
pablochille;Fetty;" 
 
Haciendo fetty (Ey) 
Haciendo fetty (Fetty) 
Saco lo' fajo' que te dejan desespery (Ah) 
Estamos wavy (Way) 
Estamos ready (Ey) 
Tomando henny, smoking weed and I got planty (Ey) 
Haciendo fetty (Fetty) 
Haciendo fetty (Money, money) 
My bitches hot and your bitches look like Betty (Ugly) 
I pop a molly, puro like peri (Damn, ¡Diablo!) 
I pop a molly con tu bitch estamos sweaty (¡Toy' sudando!) 
 
I write like Ice Cube, I live like Eric (Eazy E!) 
Dejé a esa puta porque estaba muy histeric (Fuck that bitch) 
I fly like Jordan (¡Wuh!) 
I shoot like Derry (Pew, pew, pew) 
Estamo' frío' en todo' lado' y tu igual que un eighty (Uh) 
Me tomo un lean (Fle') 
Me tomo un xanny (Damn, xan) 
Yo no amo a putas solamente a my Jani (I luv' ma' momma) 
Saco la tola, it's like the runnin' 
Me habla de calle, all that shit for me is funny 
 
Ey 
Esta es la shit y cambió (Ey) 
Tanto rezamos que Dios no' escuchó (Já) 
Ahora estamo' focho' 
Como cero hay má' de ocho (Jaja) 
Ahora si que estamo' lindo estamo' mocho, hey 
Sobran las putas y el haze (Yeah) 
Lo' haters siguen llegando anyway (Yeah) 
Me siento como si estuviera a'entro 'el play (Shi) 
Vida de gangster, vida de un rey (Yeah nigga) 
Con las conexiones má' duras (Pew pew pew pew) 
Somo' la pura 
Aunque la vida se nos haya en algún momento puesto un poco dura 
Me siento en la cruda, pero en finura (Urr) 
Tengo gatas que son una ricura (Ey) 
Niggas want play, no tienen break 
I can go shoot a tu maldito place, hey, hey, hey, hey 
 
";1;"Haciendo fetty (Money, money)
My bitches hot and your bitches look like Betty (Ugly)

I write like Ice Cube, I live like Eric (Eazy E!)
Dejé a esa puta porque estaba muy histeric (Fuck that bitch)"
alejandrosanz;Y Slo Se Me Ocurre Amarte;" 
 
Tan pura la vida y tú 
Tan llena de paz 
Y sólo se me ocurre amarte 
Llenas mi vida de luz 
Llenas el cielo la tierra y el mar 
Y a mí tan sólo se me ocurre amarte 
 
No existe un corazón que lo resista, niña 
Pero si lloras quiero que mis ojos 
Sigan cada lágrima tuya 
Y hasta que la pierda de vista 
 
La miro a ella y te miro a ti 
Usa mi alma como una cometa 
Y yo muero de ganas 
De encontrar la forma 
De enseñarte el alma 
Y sólo se me ocurre amarte 
 
Cómo va a ser eso 
Si aún cuando sale la luna 
Y da en mi ventana 
No te puedo dejar de querer 
Nos hemos reído y llorado los tres 
Yo quiero darte la alegría  
Quiero darte algo importante 
Y sólo se me ocurre amarte 
 
Cómo va a ser eso 
Si aún cuando sale la luna 
Y da en mi ventana 
No te puedo dejar de querer 
Nos hemos reído y llorado los tres 
Yo quiero darte mi alegría  
Mi guitarra y mis poesías 
Y sólo se me ocurre amarte 
 
Tan pura la vida y tú 
Tan llena de paz y de luz 
Y sólo se me ocurre amarte 
Llenas mi vida de luz 
Llenas mi cielo, mi tierra y mi mar 
Y a mí tan sólo se me ocurre amarte 
";0;
aventura;Gone;" 
 
Mil palabras te podria decir 
To make you come home 
Seems so long ago you walked away 
And left me alone 
Y yo me acuerdo what you said to me 
You were acting so strange 
Quizas fui ciego y no quise entender 
That you needed a change 
 
Was it something I said 
To make you turn away 
To make you walk out and leave me cold 
If I could just find a way 
To make it so that you were right here 
Right now..... 
 
I've been seating here 
Can't get you off my mind 
I try my best to be a man and be strong 
I drove myself insane wishing I can touch your face 
.....but the truth re-mains 
You're gone............ 
Tu no estas......gone 
No-ooo....gone 
Oh baby girl, baby girl you're.. gone 
No-ooo....gone 
 
I don't want to make excuses baby 
Won't change the fact that you're gone no no 
Pero si algo es verdad mi amor 
Siempre me rindo a tus pies 
El tiempo pasa tan lento baby 
Esa es mi vida sin ti (esa es mi vida sin ti) 
And maybe I can change my everyday 
Pero no puedo mi amor 
So I'll just hang around and find some things to do 
To take my mind off missing you 
Y yo se corazon que tambien sientes lo mismo por mi 
Dime que si 
 
I've been sitting here 
Can't get you off my mind (no puedo mas) 
I try my best to be a man and be strong (ooh) 
I drove myself insane wishing I can touch your face 
... but the truth remains 
You're...gone 
Tu no estas...gone 
No-oo...gone 
Oh baby girl,baby girl you're....gone 
Noo-oo..gone 
 
Dime que puedo hacer 
Si no estas junto a mi 
Dime niña que no vez 
Que me muero por ti 
Now that we are apart 
Am I still in your heart 
Niña linda que no vez 
Te necesito aqui 
 
Ooohh.... 
I've been sitting here (sentado aqui) 
Can't get you off my mind (en falta de tu amor) 
I try my best to be man and be strong (listen to your man..) 
I drove myself insane wishing I can touch your face.. 
..but the truth re-mains 
You are...gone 
I've been sitting here (sentado aquí) 
Can't get you off my mind (can't get you off my mind) 
I try my best to be a man and be strong (listen to your man oooh) 
I drove myself insane wishing I can touch your face.. 
but the truth re-mains 
Your..gone gone gone (you are gone baby girl) gone gone gone 
....but the truth re-mains you're....... 
";0;
sodastereo;Disco Eterno;" 
 
Me salí 
fuera de contexto 
practicar 
no te hace perfecto 
poner un disco eterno 
moverme con el sol 
 
Un espíritu 
a veces seguro 
otras veces incierto 
vengo a descubrir 
porque este deseo crece 
 
Entre los dos 
pasa un meridiano 
latitud 
vidas paralelas 
abrir el sueño stereo 
crea la dimensión 
 
Sin disimular  
me voy desnudando 
con cada sonido 
alta fidelidad 
cuando este deseo crece 
 
Un espíritu 
a veces seguro 
otras veces incierto 
vengo a descubrir 
porque este deseo crece 
";0;
anagabriel;No Me Lastimes Ms;" 
 
Nooo, me lastimes no  
querido amigo, ya no por favor  
No, quiero seguir a tu lado  
estas matando mi corazón  
 
Ya, no puedo mas  
tus ojos me mienten una y otra vez  
 
Sé, que no me quieres  
sé, que no me amas  
ya, no quiero verte  
lo nuestro se acabo  
 
Sé, que me estas engañando  
que tus caricias das a otras también  
no, me lastimes más,  
querido amigo, vete por favor  
ya no puedo más  
tus ojos me mienten una y otra vez  
";0;
cafetacuba;Tomar El Fresco;" 
 
Permítanme, quiero tomar el fresco, 
ya llevo mucho tambaleando, 
permítanme, quiero salir tantito, 
ya llevo mucho aquí encerrado. 
 
¿Que te preocupa si voy a regresar? 
 
Permíteme quiero tomar el fresco, 
ya llevo tres años casado, 
permítanos que paremos un rato, 
llevamos trece años tocando 
 
¿Te preocupa si voy a regresar? 
¿Te preocupa si ya no valgo mas? 
 
Si no regreso, no pasa nada, 
tarde o temprano alguien me viene a suplantar, 
¿que no? 
 
Si no regreso (no pasa nada) 
tarde o temprano alguien me viene a replantear, 
me viene a suplantar, 
que no? 
";0;
monlaferte;Si Alguna Vez;" 
 
Ra-ra-ra-ra-ra-ra-ra-ra 
Ra-ra-ra-ra-ra-ra-ra 
 
Si alguna vez nos volvemos a ver, caminamos un rato 
Será bonito encontrarnos de nuevo con tanto pasado 
Seguramente habrá un sitio que pueda ponernos al tanto 
Dejando atrás la forma en que esto un día termino 
 
Si alguna vez nos volvemos a ver, abracemos la suerte 
Y si nos toca esa luna menguante, nos damos el chance 
De contemplarla como aquella vez en la banca de un parque 
Para que no quepa duda de que fue un hermoso amor 
 
Tanta cosa buena que viví 
Te quiero agradecer 
Porque hasta la pena en que me vi 
La puedo comprender 
 
Si nosotros algún día 
Cuánto no recordaría 
Todo lo que te diría 
 
Si alguna vez nos volvemos a ver, nos reímos de todo 
Y sin contarnos la historia de cómo salimos del lodo 
Al fin y al cabo nos haría falta tan solo mirarnos 
Para que no quepa duda de que fue un hermoso amor 
 
";0;
cafetacuba;Abandonado;" 
 
Abandonado estoy de mis dios, ese soy 
Abandonado de mi, a mi suerte voy 
Yo huí de los mios, a los que pertenezco 
si alguna vez, perteneci 
si alguna vez estuve allí 
 
El huerfano el mal querido el que responde mal 
El que desilusiona, el desilusionado, el que funciona mal 
El que llora amargo, y dónde llueve seca lo plantado 
 
Abandonado estoy de mis dios, ese soy 
(abandonado) 
Abandonado de mi, a mi suerte voy 
(abandonado) 
 
El que se contradice y se maldice 
con la palabra se hizo visible 
sin decir nada digno, dice. 
";0;
maluma;Juegos Prohibidos Remix;" 
 
Escucha nicky 
yo tengo algo que 
quiero preguntarte 
y no me puedo aguantar 
es que no me gusta la 
forma en que aquel dia la miraste 
y comence a sospechar 
comence a sospechar baby 
 
Yo sueño con tocarte a ti 
y hacerte ma 
y tu lo tienes que admitir 
que no te sientes igual 
 
es un problema serio 
contesta el celular 
con un misterio 
la cama se convierte 
en cementerio 
ya ni nos entendemos 
ni hacemos el amor 
creo que tiene alguien 
que se lo hace mejor 
 
Me dijeron que la vieron 
con un hombre 
me dijeron cuando 
me dijeron donde 
que el vienres en un 
motel con el estabas 
hey nicky y el viernes 
donde andabas? 
 
a veces hasta me dan ganas de secuestrarte 
llevarte para un mundo donde estemos tu y yo aparte 
me siento incomodo cuando él viene a tocarte 
no sé porque me siento ser el dueño de tu parte 
el te besa y tú me miras, porque en el fondo 
tu cuerpo te dice que eres mía 
no sabes cuantas cosas yo te haría 
los dos queremos pero nos mata la cobardía 
 
Yo se que tu estas con el 
y por eso no puedo mirarte 
y tengo que respetar 
y te lo juro que cuando te veo quiero aguantarme 
y no lo puedo evitar 
 
Tu estas con el 
y yo lo se 
no me lo vas a negar 
 
Se te cogio la mentira mamasita 
La industria Inc. 
";1;"a veces hasta me dan ganas de secuestrarte
llevarte para un mundo donde estemos tu y yo aparte
me siento incomodo cuando él viene a tocarte
no sé porque me siento ser el dueño de tu parte
el te besa y tú me miras, porque en el fondo
tu cuerpo te dice que eres mía
no sabes cuantas cosas yo te haría
los dos queremos pero nos mata la cobardía"
maluma;Que Chimba;" 
 
Niño 
Parcero 
Mi llave 
La buena 
 
To'a las chimbitas 
Y to' los parceros 
Prepárense 
Porque como ustedes saben 
Comenzó esto 
 
La guaracha, mijo, la guaracha 
¿Sabe qué?, mono 
No le niegue 
 
Qué chimba 
 
Maluma, baby 
Victor Cárdenas 
 
Si en el Lleras empezamos con el guaro 
En el parque rematamos con roncito 
A Sabaneta le llegamos a caballo 
Y en La Palma, mirador con un bluntcito 
 
Con un bluntcito (Niño) 
Con un bluntcito (Parcero) 
Con un bluntcito (Mi llave) 
Con un bluntcito (La buena) 
 
(¡Prepárenle!) 
 
 
";0;
